x,y,z,Class
2024.386,2430.912,928.211,0
5128.266,4932.229,585.512,2
3123.334,3157.011,1266.574,0
4530.23,4362.667,507.066,3
1212.201,2091.175,1244.156,1
2474.59,4055.164,488.224,2
4547.914,2728.749,949.698,1
1756.142,3207.48,651.26,1
2858.555,4515.665,523.699,0
3098.086,3170.695,1146.425,0
996.927,4489.487,475.591,0
3028.839,2861.645,444.29,0
2084.869,5220.131,435.541,0
5572.189,4125.515,785.977,3
3753.362,3195.014,497.106,1
4904.507,2199.128,875.641,1
4325.738,386.706,1027.049,1
253.933,5845.176,596.784,3
1024.638,2983.1,649.246,4
4504.116,5758.297,1102.158,3
2920.264,4718.238,659.559,0
1339.037,3068.829,802.446,1
3782.069,3580.345,988.621,1
5416.05,4499.133,856.064,3
2420.207,148.637,863.583,1
3636.645,5702.839,646.419,0
1213.789,4280.218,1050.137,3
2799.672,5092.022,408.47,1
4527.884,512.538,643.163,1
4662.299,5907.258,945.084,3
1665.413,3181.988,1083.413,3
1615.455,5224.058,418.604,0
764.053,3009.015,780.114,0
1297.423,4036.911,866.076,3
4790.113,4162.789,708.444,3
1217.9,3972.649,1086.719,3
2860.196,2950.392,609.216,1
2745.385,872.86,1044.339,2
2369.583,5805.208,949.167,2
4777.299,6156.435,1063.849,3
5853.226,2606.774,184.839,1
1885.083,2451.761,899.07,0
4062.524,5536.16,724.915,1
3840.899,5011.353,972.844,1
5107.291,5147.205,654.024,1
2649.615,4690.615,600.923,0
2423.333,1373.903,1099.801,0
1289.961,4419.807,498.842,0
3558.463,2113.569,1179.779,3
154.098,4542.461,671.862,4
3921.092,4158.7,972.267,4
982.232,4714.162,475.591,0
4085.02,1689.352,644.332,2
1959.59,4591.854,903.764,3
2886.727,662.649,515.325,0
1905.062,2172.381,978.064,4
2733.056,387.938,935.431,4
4728.462,597.308,964.615,0
1223.792,5738.917,536.083,0
1549.167,3946.437,574.713,2
640.315,2221.381,868.266,4
4565.882,4348.095,775.964,3
1917.914,2905.379,1174.505,3
1633.782,4376.815,745.927,3
4784.136,555.39,853.254,0
3243.811,189.939,1204.756,0
1059.895,338.01,466.754,1
4426.324,5717.765,731.724,1
2763.251,3038.958,855.062,2
4638.201,1844.865,491.223,4
3170.0,370.0,940.0,1
4341.534,4578.56,816.014,3
1111.487,5848.885,503.234,0
3333.953,3082.093,905.233,1
4843.009,1838.761,1023.053,1
1856.208,5223.976,1135.201,1
3552.92,3973.993,1034.795,2
1979.6,2052.4,692.8,1
1677.802,4682.915,728.72,3
1649.253,2893.382,1100.787,3
4450.0,1356.667,876.667,2
